trade_date,fruit_category,crop_name_zh,crop_code,market_code,market_name,high_price_twd_per_kg,mid_price_twd_per_kg,low_price_twd_per_kg,avg_price_twd_per_kg,volume_kg,price_unit,volume_unit
2017-03-19,apple,蘋果-富士進口,X69,104,台北二,131.5,56.4,35.4,67.2,7446.0,TWD/kg,kg
2017-03-21,apple,蘋果-富士進口,X69,104,台北二,115.6,47.3,32.5,58.0,20632.0,TWD/kg,kg
2017-03-22,apple,蘋果-富士進口,X69,104,台北二,115.7,53.1,30.6,61.1,15398.0,TWD/kg,kg
2017-03-22,apple,蘋果-金冠進口,X49,104,台北二,33.3,33.3,33.3,33.3,120.0,TWD/kg,kg
2017-03-23,apple,蘋果-富士進口,X69,104,台北二,79.8,39.7,29.4,45.7,27030.0,TWD/kg,kg
2017-03-24,apple,蘋果-富士進口,X69,104,台北二,130.8,47.5,33.5,61.3,19038.0,TWD/kg,kg
2017-03-24,apple,蘋果-金冠進口,X49,104,台北二,33.3,33.3,33.3,33.3,200.0,TWD/kg,kg
2017-03-25,apple,蘋果-富士進口,X69,104,台北二,89.1,47.1,31.3,52.4,34932.0,TWD/kg,kg
2017-03-26,apple,蘋果-其他進口,x09,104,台北二,120.0,120.0,120.0,120.0,50.0,TWD/kg,kg
2017-03-26,apple,蘋果-富士進口,X69,104,台北二,189.6,55.5,38.0,78.8,10137.0,TWD/kg,kg
2017-03-28,apple,蘋果-富士進口,X69,104,台北二,110.3,45.7,31.7,55.8,36798.0,TWD/kg,kg
2017-03-28,apple,蘋果-金冠進口,X49,104,台北二,36.7,35.5,33.3,35.3,2380.0,TWD/kg,kg
2017-03-29,apple,蘋果-富士進口,X69,104,台北二,131.9,65.7,35.0,72.8,7224.0,TWD/kg,kg
2017-03-30,apple,蘋果-其他進口,x09,104,台北二,93.3,93.3,93.3,93.3,480.0,TWD/kg,kg
2017-03-30,apple,蘋果-富士進口,X69,104,台北二,147.6,44.4,32.1,62.6,16134.0,TWD/kg,kg
2017-03-31,apple,蘋果-其他進口,x09,104,台北二,100.0,100.0,100.0,100.0,200.0,TWD/kg,kg
2017-03-31,apple,蘋果-富士進口,X69,104,台北二,109.8,44.4,29.5,54.5,22168.0,TWD/kg,kg
2017-04-01,apple,蘋果-富士進口,X69,104,台北二,133.4,50.3,36.0,64.1,21668.0,TWD/kg,kg
2017-04-02,apple,蘋果-富士進口,X69,104,台北二,120.4,58.1,35.3,66.0,19290.0,TWD/kg,kg
2017-04-03,apple,蘋果-富士進口,X69,104,台北二,140.4,76.9,40.7,82.3,4988.0,TWD/kg,kg
2017-04-06,apple,蘋果-五爪進口,X19,104,台北二,25.9,22.3,18.5,22.3,1782.0,TWD/kg,kg
2017-04-06,apple,蘋果-富士進口,X69,104,台北二,188.6,61.2,31.5,80.8,21802.0,TWD/kg,kg
2017-04-07,apple,蘋果-其他進口,x09,104,台北二,30.0,28.4,26.7,28.3,1960.0,TWD/kg,kg
2017-04-07,apple,蘋果-富士進口,X69,104,台北二,116.9,47.7,20.1,56.1,18842.0,TWD/kg,kg
2017-04-08,apple,蘋果-富士進口,X69,104,台北二,134.0,55.3,30.3,66.0,18922.0,TWD/kg,kg
2017-04-09,apple,蘋果-富士進口,X69,104,台北二,141.2,49.4,28.2,63.5,22211.0,TWD/kg,kg
2017-04-11,apple,蘋果-富士進口,X69,104,台北二,132.4,51.6,27.2,62.9,18216.0,TWD/kg,kg
2017-04-12,apple,蘋果-富士進口,X69,104,台北二,147.9,61.3,34.7,73.3,12018.0,TWD/kg,kg
2017-04-13,apple,蘋果-富士進口,X69,104,台北二,153.1,51.0,26.8,66.6,16154.0,TWD/kg,kg
2017-04-13,apple,蘋果-金冠進口,X49,104,台北二,26.7,26.7,26.7,26.7,980.0,TWD/kg,kg
2017-04-14,apple,蘋果-富士進口,X69,104,台北二,106.3,61.7,26.5,63.6,6052.0,TWD/kg,kg
2017-04-15,apple,蘋果-富士進口,X69,104,台北二,110.5,41.1,30.8,52.9,25563.0,TWD/kg,kg
2017-04-16,apple,蘋果-富士進口,X69,104,台北二,137.1,40.4,26.8,57.0,9798.0,TWD/kg,kg
